Application_ID,Age,Gender,Education,Employment_Type,Income_Group,Credit_Group,Existing_Loan,Loan_Amount_Group,Loan_Status
LN0034,41,Male,Graduate,Self-Employed,Low,Excellent,Yes,Small,Approved
LN0035,29,Male,Graduate,Self-Employed,Medium,Fair,No,Medium,Rejected
LN0036,59,Male,Graduate,Salaried,Medium,Fair,Yes,Medium,Approved
LN0037,38,Male,Graduate,Salaried,High,Excellent,No,Medium,Approved
LN0038,24,Female,Graduate,Salaried,Low,Good,Yes,Medium,Approved
LN0039,45,Male,Graduate,Salaried,Low,Good,No,Medium,Rejected
LN0040,34,Male,Graduate,Salaried,Medium,Excellent,Yes,Small,Rejected
LN0041,29,Female,Not Graduate,Self-Employed,Medium,Poor,No,Large,Rejected
LN0042,46,Male,Graduate,Other,Low,Good,Yes,Small,Rejected
LN0043,22,Male,Graduate,Salaried,High,Good,Yes,Medium,Approved
LN0044,40,Male,Graduate,Self-Employed,High,Good,No,Medium,Rejected
LN0045,48,Male,Not Graduate,Salaried,Low,Good,No,Large,Approved
LN0046,27,Male,Graduate,Business,Low,Good,No,Medium,Rejected
LN0047,28,Male,Graduate,Other,Medium,Good,Yes,Medium,Approved
LN0048,55,Female,Not Graduate,Business,Medium,Good,No,Medium,Rejected
LN0049,34,Male,Graduate,Other,Low,Good,No,Medium,Rejected
LN0050,37,Male,Graduate,Salaried,Medium,Good,Yes,Small,Approved
LN0051,56,Female,Graduate,Business,Medium,Good,Yes,Medium,Rejected
LN0052,60,Male,Graduate,Business,Low,Good,No,Medium,Approved
LN0053,24,Female,Not Graduate,Salaried,Medium,Good,No,Large,Rejected
LN0054,22,Male,Not Graduate,Other,High,Good,No,Medium,Rejected
LN0055,26,Male,Graduate,Salaried,Low,Good,No,Medium,Approved
LN0056,24,Female,Graduate,Self-Employed,Low,Good,No,Small,Approved
LN0057,49,Male,Graduate,Salaried,Medium,Excellent,Yes,Large,Approved
LN0058,38,Male,Graduate,Salaried,High,Good,No,Large,Approved
LN0059,46,Male,Not Graduate,Business,High,Good,No,Small,Approved
LN0060,54,Male,Graduate,Self-Employed,Medium,Good,Yes,Small,Approved
LN0061,30,Female,Graduate,Salaried,Medium,Excellent,No,Medium,Approved
LN0062,56,Male,Not Graduate,Salaried,Medium,Good,Yes,Small,Approved
LN0063,34,Male,Graduate,Business,Medium,Good,No,Small,Rejected
LN0064,51,Male,Not Graduate,Salaried,Low,Good,No,Small,Approved
LN0065,35,Female,Graduate,Salaried,Low,Good,Yes,Small,Rejected
LN0066,28,Male,Not Graduate,Other,Low,Fair,No,Medium,Rejected
LN0067,34,Female,Graduate,Business,Medium,Fair,No,Medium,Rejected
LN0068,43,Male,Graduate,Salaried,Low,Excellent,Yes,Small,Approved
LN0069,60,Female,Graduate,Business,High,Good,No,Small,Approved
LN0070,41,Female,Graduate,Business,Low,Good,No,Small,Rejected
LN0071,36,Female,Not Graduate,Business,Low,Excellent,No,Medium,Approved
LN0072,38,Female,Not Graduate,Self-Employed,Medium,Good,Yes,Small,Approved
LN0073,44,Male,Graduate,Salaried,Medium,Good,No,Medium,Approved
LN0074,46,Male,Graduate,Salaried,Low,Good,Yes,Medium,Approved
LN0075,45,Male,Graduate,Salaried,Low,Good,No,Small,Approved
LN0076,49,Male,Graduate,Self-Employed,High,Fair,Yes,Small,Rejected
LN0077,35,Male,Graduate,Salaried,Low,Good,No,Small,Approved
LN0078,21,Male,Not Graduate,Self-Employed,Low,Good,No,Medium,Rejected
LN0079,45,Male,Graduate,Salaried,High,Fair,No,Large,Rejected
LN0080,27,Male,Graduate,Salaried,Low,Good,No,Small,Approved
LN0081,29,Female,Graduate,Business,Medium,Fair,Yes,Large,Rejected
LN0082,44,Male,Not Graduate,Salaried,Medium,Fair,Yes,Small,Rejected
LN0083,21,Female,Not Graduate,Salaried,Low,Fair,No,Large,Rejected
LN0084,28,Female,Not Graduate,Business,Low,Poor,No,Medium,Rejected
LN0085,44,Female,Graduate,Salaried,Low,Good,Yes,Medium,Rejected
LN0086,31,Male,Graduate,Business,Low,Excellent,No,Medium,Rejected
LN0087,37,Female,Not Graduate,Business,Low,Good,No,Medium,Approved
LN0088,28,Female,Graduate,Salaried,Medium,Fair,No,Large,Approved
LN0089,55,Female,Graduate,Business,Medium,Poor,Yes,Medium,Rejected
LN0090,55,Male,Not Graduate,Self-Employed,Medium,Fair,Yes,Medium,Rejected
LN0091,53,Male,Not Graduate,Salaried,High,Good,Yes,Small,Rejected
LN0092,25,Male,Graduate,Salaried,Medium,Fair,No,Small,Rejected
LN0093,59,Male,Not Graduate,Salaried,Low,Good,No,Large,Approved
LN0094,48,Female,Graduate,Other,High,Fair,No,Medium,Approved
LN0095,27,Female,Graduate,Salaried,Low,Good,No,Medium,Approved
LN0096,29,Female,Graduate,Self-Employed,Low,Fair,No,Medium,Approved
LN0097,28,Male,Not Graduate,Self-Employed,Medium,Fair,No,Large,Rejected
LN0098,32,Female,Not Graduate,Self-Employed,Medium,Good,No,Medium,Rejected
LN0099,54,Female,Not Graduate,Salaried,Medium,Fair,Yes,Medium,Rejected
LN0100,53,Female,Graduate,Salaried,Low,Poor,No,Medium,Approved
LN0101,43,Female,Not Graduate,Business,Medium,Good,No,Medium,Approved
LN0102,44,Female,Not Graduate,Salaried,Low,Good,Yes,Small,Approved
LN0103,57,Male,Graduate,Salaried,High,Good,Yes,Large,Rejected
LN0104,55,Female,Not Graduate,Salaried,Low,Fair,Yes,Medium,Approved
LN0105,60,Male,Not Graduate,Salaried,High,Fair,No,Large,Rejected
LN0106,42,Male,Graduate,Business,Medium,Fair,No,Small,Rejected
LN0107,47,Female,Graduate,Salaried,High,Poor,No,Small,Rejected
LN0108,55,Male,Graduate,Salaried,Medium,Excellent,No,Large,Approved
LN0109,21,Female,Graduate,Salaried,Medium,Good,Yes,Medium,Rejected
LN0110,55,Male,Graduate,Business,Low,Fair,No,Medium,Rejected
LN0111,57,Female,Not Graduate,Self-Employed,Low,Good,Yes,Medium,Rejected
LN0112,34,Male,Graduate,Salaried,Low,Fair,No,Medium,Rejected
LN0113,23,Female,Graduate,Business,High,Excellent,No,Medium,Approved
LN0114,21,Female,Graduate,Self-Employed,High,Poor,No,Small,Rejected
LN0115,25,Male,Graduate,Business,Medium,Poor,No,Large,Approved
LN0116,46,Male,Graduate,Business,Low,Good,No,Large,Rejected
LN0117,34,Female,Graduate,Salaried,Medium,Good,Yes,Small,Rejected
LN0118,59,Male,Graduate,Salaried,Medium,Good,No,Large,Approved
LN0119,47,Male,Graduate,Salaried,Medium,Poor,No,Large,Rejected
LN0120,29,Male,Graduate,Salaried,Medium,Fair,Yes,Medium,Approved
LN0121,35,Male,Graduate,Other,High,Good,No,Medium,Rejected
LN0122,35,Female,Not Graduate,Salaried,Low,Fair,No,Medium,Approved
LN0123,46,Female,Graduate,Salaried,Medium,Excellent,Yes,Small,Approved
LN0124,33,Male,Not Graduate,Business,Medium,Poor,No,Medium,Approved
LN0125,52,Male,Graduate,Self-Employed,Low,Good,Yes,Large,Approved
LN0126,59,Female,Graduate,Salaried,Low,Good,No,Medium,Rejected
LN0127,52,Male,Not Graduate,Salaried,Low,Fair,Yes,Medium,Rejected
LN0128,24,Male,Graduate,Salaried,High,Good,No,Small,Rejected
LN0129,50,Female,Graduate,Business,Medium,Good,Yes,Small,Approved
LN0130,57,Female,Graduate,Salaried,Medium,Fair,No,Medium,Approved
LN0131,43,Female,Graduate,Salaried,High,Excellent,No,Small,Approved
LN0132,59,Female,Graduate,Self-Employed,Medium,Good,No,Medium,Approved
LN0133,35,Male,Graduate,Salaried,Low,Fair,No,Medium,Rejected
LN0134,49,Female,Graduate,Self-Employed,Medium,Fair,No,Medium,Rejected
LN0135,56,Male,Graduate,Self-Employed,Medium,Fair,Yes,Small,Approved
LN0136,33,Male,Not Graduate,Salaried,Medium,Good,Yes,Medium,Rejected
LN0137,52,Male,Not Graduate,Other,Medium,Good,No,Medium,Rejected
LN0138,27,Male,Not Graduate,Self-Employed,Medium,Good,No,Small,Approved
LN0139,42,Female,Graduate,Salaried,Low,Excellent,Yes,Small,Approved
LN0140,48,Male,Not Graduate,Self-Employed,High,Good,No,Small,Rejected
LN0141,22,Male,Graduate,Business,Low,Good,Yes,Large,Rejected
LN0142,26,Male,Graduate,Business,Low,Fair,Yes,Small,Rejected
LN0143,48,Male,Graduate,Salaried,Low,Good,No,Medium,Rejected
LN0144,48,Female,Not Graduate,Other,Low,Poor,No,Large,Rejected
LN0145,40,Male,Graduate,Salaried,Low,Good,No,Medium,Approved
LN0146,50,Female,Graduate,Salaried,High,Fair,No,Small,Approved
LN0147,31,Male,Graduate,Salaried,High,Poor,No,Large,Approved
LN0148,48,Male,Not Graduate,Salaried,Low,Poor,No,Small,Rejected
LN0149,45,Female,Not Graduate,Business,Low,Fair,Yes,Medium,Rejected
LN0150,59,Male,Not Graduate,Salaried,Low,Good,Yes,Large,Rejected
LN0151,53,Female,Graduate,Salaried,Low,Good,No,Medium,Rejected
LN0152,21,Male,Graduate,Business,Low,Good,No,Medium,Rejected
LN0153,47,Male,Graduate,Salaried,High,Good,No,Small,Rejected
LN0154,33,Female,Graduate,Salaried,Low,Good,Yes,Medium,Approved
LN0155,23,Male,Graduate,Salaried,Medium,Fair,Yes,Medium,Rejected
LN0156,59,Male,Not Graduate,Salaried,Low,Poor,No,Small,Rejected
LN0157,26,Female,Not Graduate,Salaried,High,Good,Yes,Large,Approved
LN0158,28,Male,Not Graduate,Self-Employed,Medium,Good,No,Large,Rejected
LN0159,47,Female,Not Graduate,Salaried,High,Poor,Yes,Large,Rejected
LN0160,29,Male,Not Graduate,Salaried,Medium,Fair,Yes,Medium,Approved
LN0161,57,Female,Graduate,Business,Low,Poor,No,Medium,Approved
LN0162,53,Female,Graduate,Self-Employed,Low,Good,No,Large,Rejected
LN0163,44,Male,Not Graduate,Salaried,Medium,Fair,Yes,Large,Rejected
LN0164,35,Female,Graduate,Self-Employed,Medium,Good,Yes,Medium,Rejected
LN0165,52,Male,Not Graduate,Salaried,Medium,Good,No,Small,Approved
LN0166,52,Female,Graduate,Self-Employed,Low,Fair,Yes,Small,Approved
LN0167,44,Male,Graduate,Self-Employed,Low,Excellent,No,Medium,Approved
LN0168,32,Male,Not Graduate,Salaried,Medium,Good,No,Medium,Approved
LN0169,59,Male,Not Graduate,Other,Medium,Good,Yes,Large,Approved
LN0170,22,Male,Not Graduate,Salaried,Medium,Good,No,Small,Rejected
LN0171,23,Male,Graduate,Business,Low,Good,Yes,Small,Approved
LN0172,57,Female,Not Graduate,Salaried,Medium,Good,No,Medium,Approved
LN0173,37,Female,Graduate,Business,Low,Fair,No,Medium,Approved
LN0174,22,Female,Graduate,Self-Employed,Low,Poor,No,Small,Rejected
LN0175,22,Male,Graduate,Business,Medium,Poor,Yes,Medium,Rejected
LN0176,48,Female,Graduate,Salaried,Low,Fair,No,Medium,Rejected
LN0177,43,Male,Graduate,Self-Employed,Low,Fair,No,Medium,Rejected
LN0178,57,Male,Not Graduate,Self-Employed,Low,Fair,No,Medium,Rejected
LN0179,52,Male,Not Graduate,Business,Low,Poor,No,Small,Rejected
LN0180,53,Male,Graduate,Self-Employed,Low,Good,Yes,Medium,Rejected
LN0181,21,Female,Graduate,Self-Employed,Low,Excellent,No,Large,Approved
LN0182,39,Male,Not Graduate,Salaried,Low,Excellent,Yes,Small,Rejected
LN0183,22,Male,Not Graduate,Salaried,Low,Good,Yes,Large,Approved
LN0184,46,Male,Not Graduate,Self-Employed,Medium,Good,No,Medium,Rejected
LN0185,52,Male,Graduate,Salaried,Low,Excellent,Yes,Large,Approved
LN0186,26,Male,Graduate,Other,Low,Fair,No,Large,Rejected
LN0187,52,Female,Graduate,Business,Low,Fair,No,Small,Rejected
LN0188,24,Male,Graduate,Other,Medium,Excellent,No,Medium,Approved
LN0189,31,Male,Graduate,Salaried,High,Good,No,Small,Approved
LN0190,37,Male,Not Graduate,Business,Medium,Good,No,Large,Rejected
LN0191,58,Female,Graduate,Business,Medium,Fair,Yes,Medium,Rejected
LN0192,44,Female,Graduate,Self-Employed,Medium,Poor,No,Medium,Rejected
LN0193,25,Female,Graduate,Self-Employed,Medium,Good,Yes,Medium,Approved
LN0194,54,Female,Graduate,Salaried,Medium,Good,Yes,Large,Rejected
LN0195,26,Male,Graduate,Business,Low,Fair,No,Small,Rejected
LN0196,42,Male,Graduate,Self-Employed,Low,Fair,No,Medium,Approved
LN0197,31,Female,Graduate,Salaried,Low,Good,No,Medium,Approved
LN0198,36,Female,Not Graduate,Salaried,High,Good,Yes,Medium,Rejected
LN0199,53,Female,Not Graduate,Other,Medium,Fair,No,Medium,Approved
LN0200,29,Female,Graduate,Business,Medium,Excellent,Yes,Medium,Approved
LN0201,26,Female,Graduate,Other,Low,Poor,No,Small,Approved
LN0202,36,Female,Not Graduate,Self-Employed,Medium,Fair,No,Large,Rejected
LN0203,49,Female,Graduate,Salaried,Low,Good,No,Small,Approved
LN0204,23,Female,Graduate,Salaried,Low,Fair,Yes,Medium,Rejected
LN0205,40,Female,Not Graduate,Salaried,High,Good,Yes,Small,Approved
LN0206,56,Female,Graduate,Salaried,Medium,Good,Yes,Small,Rejected
LN0207,39,Male,Graduate,Salaried,Low,Good,No,Small,Rejected
LN0208,46,Female,Graduate,Salaried,High,Poor,No,Medium,Rejected
LN0209,23,Male,Graduate,Salaried,Low,Poor,Yes,Medium,Rejected
LN0210,39,Male,Graduate,Other,High,Fair,No,Small,Approved
LN0211,40,Female,Not Graduate,Salaried,Low,Good,No,Small,Approved
LN0212,52,Male,Graduate,Business,Low,Good,No,Large,Rejected
LN0213,27,Male,Graduate,Self-Employed,Low,Good,No,Small,Approved
LN0214,53,Male,Not Graduate,Salaried,Low,Good,No,Large,Rejected
LN0215,60,Male,Graduate,Salaried,Low,Excellent,Yes,Small,Approved
LN0216,59,Female,Graduate,Salaried,Medium,Good,Yes,Medium,Approved
LN0217,38,Male,Not Graduate,Salaried,High,Fair,Yes,Small,Approved
LN0218,60,Male,Graduate,Self-Employed,Medium,Fair,No,Large,Rejected
LN0219,21,Male,Not Graduate,Salaried,Low,Good,No,Medium,Approved
LN0220,31,Female,Not Graduate,Salaried,Medium,Fair,No,Medium,Rejected
LN0221,48,Female,Graduate,Salaried,Low,Poor,Yes,Small,Rejected
LN0222,45,Male,Graduate,Other,Low,Good,No,Medium,Approved
LN0223,43,Male,Not Graduate,Business,Medium,Good,Yes,Medium,Rejected
LN0224,51,Male,Graduate,Business,Medium,Poor,Yes,Small,Rejected
LN0225,50,Female,Not Graduate,Salaried,Low,Good,No,Small,Approved
LN0226,55,Female,Graduate,Business,Low,Good,No,Large,Rejected
LN0227,27,Male,Graduate,Business,High,Good,No,Small,Approved
LN0228,36,Male,Graduate,Self-Employed,Low,Poor,No,Medium,Rejected
LN0229,46,Male,Not Graduate,Other,Medium,Fair,Yes,Medium,Rejected
LN0230,22,Female,Not Graduate,Salaried,Medium,Good,Yes,Large,Rejected
LN0231,21,Male,Graduate,Other,Low,Good,Yes,Large,Rejected
LN0232,32,Male,Graduate,Other,Low,Excellent,No,Large,Approved
LN0233,25,Male,Not Graduate,Salaried,Medium,Good,No,Small,Rejected
LN0234,57,Male,Graduate,Salaried,Medium,Poor,No,Large,Rejected
LN0235,52,Female,Graduate,Other,Medium,Poor,No,Small,Approved
LN0236,29,Male,Not Graduate,Salaried,Medium,Good,Yes,Medium,Approved
LN0237,55,Female,Graduate,Self-Employed,High,Fair,Yes,Medium,Rejected
LN0238,39,Female,Not Graduate,Other,Medium,Fair,No,Small,Rejected
LN0239,36,Male,Graduate,Self-Employed,Medium,Good,Yes,Large,Approved
LN0240,23,Male,Graduate,Salaried,Medium,Poor,No,Small,Rejected
LN0241,40,Female,Graduate,Self-Employed,Medium,Fair,No,Medium,Rejected
LN0242,44,Male,Not Graduate,Salaried,Medium,Fair,No,Medium,Approved
LN0243,53,Male,Graduate,Self-Employed,Medium,Fair,Yes,Medium,Rejected
LN0244,44,Female,Graduate,Salaried,Medium,Poor,Yes,Small,Rejected
LN0245,31,Male,Graduate,Self-Employed,Low,Good,No,Medium,Approved
LN0246,28,Male,Not Graduate,Self-Employed,Medium,Good,No,Large,Approved
LN0247,56,Male,Graduate,Business,Low,Fair,No,Small,Rejected
LN0248,58,Female,Graduate,Self-Employed,Low,Good,No,Medium,Rejected
LN0249,60,Male,Graduate,Self-Employed,Low,Fair,No,Small,Rejected
LN0250,40,Male,Graduate,Business,Medium,Good,No,Medium,Rejected
LN0251,55,Male,Graduate,Salaried,Medium,Excellent,Yes,Large,Approved
LN0252,45,Male,Not Graduate,Self-Employed,Low,Good,No,Medium,Approved
LN0253,55,Male,Graduate,Salaried,Medium,Good,Yes,Medium,Rejected
LN0254,45,Male,Not Graduate,Other,Medium,Poor,Yes,Medium,Rejected
LN0255,49,Male,Graduate,Salaried,Low,Poor,No,Medium,Rejected
LN0256,38,Male,Not Graduate,Salaried,Medium,Excellent,No,Small,Approved
LN0257,38,Male,Graduate,Business,Medium,Fair,No,Small,Approved
LN0258,22,Male,Graduate,Salaried,Medium,Fair,No,Medium,Approved
LN0259,55,Male,Not Graduate,Salaried,Medium,Good,No,Medium,Rejected
LN0260,36,Male,Not Graduate,Self-Employed,Medium,Good,No,Medium,Approved
LN0261,56,Female,Graduate,Self-Employed,Low,Excellent,No,Small,Approved
LN0262,53,Male,Graduate,Business,Low,Fair,No,Medium,Approved
LN0263,24,Male,Not Graduate,Salaried,Low,Excellent,No,Small,Rejected
LN0264,53,Male,Graduate,Self-Employed,High,Poor,No,Large,Approved
LN0265,34,Female,Not Graduate,Salaried,Low,Poor,No,Medium,Rejected
LN0266,41,Female,Not Graduate,Self-Employed,Low,Good,Yes,Small,Approved
LN0267,40,Male,Graduate,Self-Employed,High,Poor,No,Small,Rejected
LN0268,28,Male,Graduate,Self-Employed,High,Fair,Yes,Large,Approved
LN0269,27,Female,Graduate,Salaried,Medium,Good,No,Small,Approved
LN0270,23,Male,Graduate,Salaried,Low,Fair,Yes,Large,Rejected
LN0271,37,Male,Graduate,Salaried,Low,Fair,No,Small,Rejected
LN0272,53,Male,Not Graduate,Salaried,Medium,Fair,No,Large,Rejected
LN0273,32,Male,Graduate,Salaried,Low,Good,Yes,Large,Rejected
LN0274,42,Female,Not Graduate,Self-Employed,Low,Good,Yes,Medium,Rejected
LN0275,42,Female,Graduate,Salaried,Medium,Good,Yes,Small,Rejected
LN0276,50,Male,Graduate,Other,High,Good,No,Small,Approved
LN0277,58,Male,Graduate,Salaried,Low,Good,Yes,Medium,Rejected
LN0278,58,Female,Graduate,Business,Medium,Good,Yes,Medium,Rejected
LN0279,28,Female,Graduate,Self-Employed,Medium,Poor,Yes,Small,Rejected
LN0280,47,Male,Graduate,Salaried,Low,Fair,No,Small,Rejected
LN0281,47,Female,Not Graduate,Salaried,Medium,Good,Yes,Medium,Rejected
LN0282,54,Female,Graduate,Self-Employed,Low,Fair,No,Medium,Rejected
LN0283,41,Female,Graduate,Salaried,Low,Excellent,Yes,Small,Rejected
LN0284,50,Male,Graduate,Other,Medium,Good,No,Small,Approved
LN0285,53,Male,Graduate,Self-Employed,Low,Good,Yes,Large,Approved
LN0286,48,Female,Graduate,Other,High,Fair,No,Medium,Approved
LN0287,53,Male,Graduate,Salaried,Low,Fair,Yes,Medium,Approved
LN0288,25,Female,Graduate,Business,Medium,Fair,No,Medium,Rejected
LN0289,39,Male,Graduate,Self-Employed,Medium,Good,No,Small,Approved
LN0290,24,Male,Graduate,Business,Low,Good,No,Small,Approved
LN0291,55,Male,Not Graduate,Salaried,Low,Excellent,No,Small,Rejected
LN0292,37,Male,Graduate,Self-Employed,Medium,Fair,No,Large,Rejected
LN0293,48,Female,Graduate,Self-Employed,High,Poor,No,Medium,Rejected
LN0294,50,Female,Graduate,Business,High,Fair,No,Small,Approved
LN0295,49,Female,Graduate,Salaried,Medium,Good,Yes,Large,Approved
LN0296,26,Female,Not Graduate,Business,Medium,Excellent,No,Small,Rejected
LN0297,55,Male,Graduate,Salaried,Medium,Fair,No,Large,Rejected
LN0298,57,Male,Graduate,Business,Medium,Good,Yes,Large,Approved
LN0299,44,Male,Graduate,Business,Medium,Fair,Yes,Small,Rejected
LN0300,49,Male,Graduate,Business,Medium,Good,Yes,Small,Rejected
LN0301,51,Male,Graduate,Self-Employed,High,Excellent,No,Medium,Rejected
LN0302,55,Male,Graduate,Salaried,Medium,Fair,Yes,Medium,Rejected
LN0303,53,Male,Not Graduate,Other,High,Fair,Yes,Medium,Approved
LN0304,41,Female,Graduate,Salaried,Medium,Excellent,Yes,Large,Rejected
LN0305,52,Female,Graduate,Self-Employed,Low,Excellent,No,Medium,Rejected
LN0306,43,Male,Graduate,Self-Employed,Low,Good,No,Small,Approved
LN0307,53,Female,Graduate,Business,Medium,Good,Yes,Small,Rejected
LN0308,23,Female,Graduate,Salaried,Medium,Fair,Yes,Medium,Approved
LN0309,38,Male,Not Graduate,Self-Employed,High,Good,Yes,Small,Approved
LN0310,45,Female,Not Graduate,Business,Low,Good,No,Medium,Approved
LN0311,51,Female,Graduate,Salaried,High,Good,No,Small,Approved
LN0312,23,Male,Not Graduate,Other,High,Fair,No,Small,Approved
LN0313,60,Male,Not Graduate,Salaried,Low,Fair,Yes,Small,Rejected
LN0314,44,Male,Not Graduate,Salaried,High,Fair,No,Medium,Rejected
LN0315,52,Male,Graduate,Salaried,High,Fair,No,Small,Rejected
LN0316,42,Male,Not Graduate,Salaried,Medium,Poor,Yes,Medium,Rejected
LN0317,43,Female,Graduate,Other,Medium,Fair,Yes,Medium,Rejected
LN0318,22,Male,Not Graduate,Salaried,High,Poor,No,Medium,Rejected
LN0319,47,Male,Graduate,Salaried,Medium,Fair,No,Medium,Approved
LN0320,22,Female,Graduate,Salaried,Low,Good,No,Small,Approved
LN0321,46,Female,Not Graduate,Self-Employed,High,Fair,No,Medium,Approved
LN0322,37,Male,Graduate,Self-Employed,Medium,Poor,No,Small,Approved
LN0323,60,Male,Not Graduate,Salaried,Medium,Fair,Yes,Medium,Rejected
LN0324,53,Male,Not Graduate,Salaried,Low,Fair,No,Small,Approved
LN0325,29,Female,Graduate,Business,Medium,Good,No,Medium,Approved
LN0326,59,Male,Graduate,Salaried,Low,Poor,Yes,Large,Rejected
LN0327,49,Male,Not Graduate,Self-Employed,High,Good,No,Medium,Approved
LN0328,46,Female,Graduate,Salaried,Low,Excellent,Yes,Medium,Approved
LN0329,55,Male,Graduate,Business,Low,Good,Yes,Medium,Rejected
LN0330,45,Female,Not Graduate,Salaried,Medium,Good,No,Small,Approved
LN0331,44,Female,Graduate,Self-Employed,Low,Excellent,No,Large,Approved
LN0332,33,Male,Graduate,Salaried,Medium,Good,No,Small,Approved
LN0333,27,Female,Not Graduate,Other,High,Poor,Yes,Large,Rejected
LN0334,56,Male,Graduate,Salaried,High,Fair,No,Medium,Approved
LN0335,40,Female,Graduate,Business,Low,Excellent,No,Medium,Rejected
LN0336,21,Male,Not Graduate,Salaried,Low,Fair,No,Medium,Rejected
LN0337,28,Female,Graduate,Salaried,High,Poor,No,Medium,Rejected
LN0338,36,Male,Not Graduate,Business,High,Good,No,Medium,Approved
LN0339,34,Female,Not Graduate,Salaried,Medium,Good,Yes,Small,Approved
LN0340,32,Female,Not Graduate,Business,Medium,Fair,No,Medium,Rejected
LN0341,43,Male,Graduate,Other,Low,Good,Yes,Medium,Approved
LN0342,35,Female,Graduate,Business,High,Fair,Yes,Large,Rejected
LN0343,48,Male,Graduate,Salaried,Medium,Good,No,Medium,Rejected
LN0344,54,Male,Not Graduate,Business,Low,Fair,No,Small,Rejected
LN0345,22,Male,Not Graduate,Salaried,Low,Fair,Yes,Small,Approved
LN0346,52,Male,Graduate,Business,High,Good,No,Medium,Rejected
LN0347,43,Male,Graduate,Self-Employed,Low,Good,Yes,Small,Approved
LN0348,42,Female,Graduate,Business,Low,Good,No,Small,Rejected
LN0349,45,Male,Graduate,Self-Employed,Medium,Fair,No,Large,Approved
LN0350,42,Female,Not Graduate,Self-Employed,Low,Fair,No,Medium,Rejected
LN0351,42,Male,Graduate,Salaried,Low,Good,Yes,Medium,Rejected
LN0352,26,Female,Not Graduate,Business,High,Fair,No,Small,Rejected
LN0353,35,Female,Not Graduate,Salaried,High,Fair,No,Medium,Approved
LN0354,57,Male,Graduate,Self-Employed,High,Fair,No,Small,Rejected
LN0355,53,Female,Graduate,Business,High,Good,No,Medium,Approved
LN0356,28,Male,Graduate,Self-Employed,Medium,Excellent,No,Small,Approved
LN0357,25,Female,Graduate,Salaried,High,Excellent,Yes,Large,Approved
LN0358,59,Male,Not Graduate,Self-Employed,Medium,Good,No,Medium,Rejected
LN0359,24,Female,Not Graduate,Salaried,Medium,Fair,No,Medium,Rejected
LN0360,26,Male,Not Graduate,Salaried,High,Fair,Yes,Medium,Approved
LN0361,52,Male,Graduate,Salaried,Low,Good,No,Medium,Approved
LN0362,50,Female,Graduate,Salaried,Medium,Fair,Yes,Small,Rejected
LN0363,55,Male,Not Graduate,Salaried,Medium,Excellent,No,Medium,Approved
LN0364,60,Male,Graduate,Business,Low,Fair,No,Small,Rejected
