Order_ID,Order_Date,Customer_ID,Customer_Segment,Region,State,Category,Sub_Category,Product,Quantity,Unit_Price,Sales,Discount,Profit,Shipping_Mode,Payment_Mode,Customer_Rating,Delivery_Days,Returned
ORD101557,2025-12-17,CUST01462,Consumer,East,Jharkhand,Furniture,Tables,Study Table,5,272.83,1514.12,0.059,337.2,Express,Credit Card,4.4,3,No
ORD102046,2025-05-24,CUST01259,Consumer,South,Tamil Nadu,Furniture,Furnishings,Whiteboard,4,802.92,3119.07,,474.62,Standard,Credit Card,4.1,5,No
ORD100053,2023-06-07,CUST01163,Consumer,West,Maharashtra,Technology,Phones,Smartphone C,3,1481.39,3176.19,0.285,-159.02,Standard,Credit Card,4.1,6,No
ORD102093,2023-05-05,CUST01122,Consumer,North,Punjab,Technology,Phones,Smartphone B,5,559.4,2570.95,0.133,486.1,Same Day,COD,4.2,2,No
ORD102872,2025-10-12,CUST01473,Consumer,West,Goa,Technology,Printers,Inkjet Printer,2,750.38,1493.18,0.157,235.43,Express,UPI,4.3,2,No
ORD100437,2025-07-13,CUST01536,Consumer,South,Andhra Pradesh,Furniture,Furnishings,Whiteboard,7,491.59,3262.53,0.052,721.77,Standard,UPI,3.9,8,No
ORD102032,2024-06-28,CUST01295,Corporate,South,Tamil Nadu,Office Supplies,Stationery,Markers,4,150.61,425.6,0.294,59.73,Express,UPI,4.3,3,No
ORD102678,2023-01-21,CUST01589,Consumer,West,Goa,Office Supplies,Storage,Filing Cabinet,3,221.03,610.53,0.079,139.45,Standard,Credit Card,2.6,8,No
ORD102554,2024-08-28,CUST01215,Small Business,West,Rajasthan,Technology,Accessories,Wireless Mouse,6,347.09,1882.52,0.096,254.28,Standard,UPI,2.4,7,No
ORD100204,2024-04-14,CUST01161,Small Business,North,Uttar Pradesh,Furniture,Tables,Conference Table,3,422.89,1082.15,0.195,142.89,Standard,COD,4.3,4,No
ORD102207,2025-01-07,CUST01241,Consumer,South,Karnataka,Furniture,Bookcases,Wooden Bookcase,2,399.59,711.61,0.11,114.56,Standard,Credit Card,4.8,3,No
ORD102273,2023-06-29,CUST01120,Consumer,North,Delhi,Technology,Laptops,Laptop Pro,2,949.14,1409.37,0.258,59.2,Standard,Credit Card,3.2,7,No
ORD101345,2024-11-10,CUST01312,Corporate,East,Odisha,Technology,Laptops,Laptop Pro,2,422.63,688.83,0.309,5.39,Standard,UPI,4.7,5,No
ORD101584,2024-07-23,CUST01250,Corporate,South,Karnataka,Technology,Phones,Smartphone A,1,428.41,353.15,0.176,56.66,Standard,Net Banking,4.0,7,No
ORD102574,2023-08-15,CUST01461,Consumer,South,Tamil Nadu,Furniture,Chairs,Office Chair,1,608.77,549.32,0.098,106.66,Express,COD,4.7,1,No
ORD101962,2023-05-03,CUST01098,Corporate,East,West Bengal,Office Supplies,Binders,Document Folder,1,338.73,319.42,0.11,84.79,Standard,Net Banking,4.2,3,No
ORD100271,2024-01-05,CUST01222,Corporate,South,Telangana,Office Supplies,Paper,Notebooks,5,251.29,819.22,0.348,83.45,Standard,Credit Card,3.5,8,No
ORD100299,2025-08-11,CUST01086,Small Business,West,Gujarat,Furniture,Chairs,Visitor Chair,2,195.57,240.33,0.386,22.24,Express,Credit Card,4.3,3,No
ORD102424,2025-04-12,CUST01403,Small Business,South,Karnataka,Technology,Laptops,Laptop Pro,4,680.58,2207.2,0.235,182.69,Express,UPI,4.8,1,No
ORD101526,2024-08-16,CUST01595,Small Business,West,Gujarat,Technology,Accessories,Wireless Mouse,2,743.15,943.51,0.365,-46.06,Standard,UPI,3.1,7,Yes
ORD101638,2025-11-10,CUST01489,Corporate,West,Goa,Technology,Printers,Inkjet Printer,3,497.03,1535.76,0.127,118.65,Standard,Net Banking,2.8,7,Yes
ORD102438,2025-12-17,CUST01215,Consumer,South,Tamil Nadu,Technology,Printers,Inkjet Printer,10,736.05,7669.99,0.117,1112.9,Express,Credit Card,4.2,3,No
ORD101098,2025-04-10,CUST01232,Consumer,North,Haryana,Technology,Laptops,Laptop Pro,8,628.43,5161.89,0.031,1356.42,Standard,Credit Card,3.8,6,No
ORD101245,2023-04-14,CUST01448,Small Business,South,Telangana,Furniture,Bookcases,Wooden Bookcase,2,804.0,1269.22,0.255,161.54,Standard,UPI,3.8,5,No
ORD101126,2023-04-30,CUST01312,Small Business,South,Andhra Pradesh,Office Supplies,Paper,Notebooks,2,126.47,237.92,0.113,69.75,Standard,COD,3.1,7,No
ORD101256,2024-07-02,CUST01519,Corporate,West,Maharashtra,Technology,Laptops,Business Laptop,6,1518.73,6846.41,0.249,-123.59,Same Day,UPI,5.0,1,No
ORD100252,2023-06-08,CUST01596,Corporate,East,Odisha,Furniture,Chairs,Ergonomic Chair,5,440.8,1267.41,0.425,114.77,Express,Credit Card,4.1,3,No
ORD100140,2024-04-22,CUST01032,Small Business,South,Andhra Pradesh,Furniture,Furnishings,Curtains,2,425.55,781.44,0.134,190.35,Standard,Credit Card,3.7,7,No
ORD100197,2023-09-30,CUST01476,Consumer,North,Haryana,Furniture,Bookcases,Metal Bookcase,2,625.57,948.88,0.242,117.9,Standard,Credit Card,3.5,7,Yes
ORD102310,2025-02-15,CUST01307,Consumer,East,West Bengal,Office Supplies,Binders,Document Folder,6,165.4,861.58,0.132,213.75,Standard,Credit Card,4.2,6,No
ORD102649,2024-03-18,CUST01465,Consumer,North,Uttar Pradesh,Technology,Accessories,Keyboard,2,699.71,1167.15,0.213,-12.41,Express,Net Banking,4.2,1,No
ORD102968,2023-09-23,CUST01461,Corporate,South,Telangana,Technology,Laptops,Laptop Air,4,862.42,3237.67,0.061,497.02,Standard,UPI,4.3,5,No
ORD102934,2025-04-13,CUST01276,Small Business,East,Jharkhand,Technology,Printers,Laser Printer,4,757.79,2311.11,0.281,125.79,Standard,Credit Card,4.1,4,No
ORD102895,2025-11-10,CUST01560,Consumer,East,West Bengal,Furniture,Bookcases,Wooden Bookcase,1,445.97,488.3,0.072,95.09,Standard,UPI,4.3,6,No
ORD102856,2023-07-03,CUST01304,Consumer,North,Haryana,Office Supplies,Storage,Filing Cabinet,2,165.82,265.48,0.199,42.31,Express,Credit Card,4.7,3,No
ORD100686,2025-06-16,CUST01550,Corporate,West,Rajasthan,Furniture,Bookcases,Metal Bookcase,7,601.92,3827.05,0.092,739.3,Express,COD,4.7,3,No
ORD100267,2024-03-25,CUST01272,Consumer,East,Bihar,Technology,Printers,Inkjet Printer,6,482.23,2939.42,0.042,489.37,Express,UPI,4.5,3,No
ORD100424,2024-01-03,CUST01162,Consumer,South,Andhra Pradesh,Furniture,Bookcases,Wooden Bookcase,3,346.59,972.65,0.065,175.8,Standard,UPI,3.9,4,No
ORD100479,2023-04-01,CUST01372,Consumer,West,Maharashtra,Furniture,Bookcases,Metal Bookcase,1,702.15,743.97,0.0,220.55,Standard,UPI,3.9,5,No
ORD100898,2023-10-28,CUST01392,Small Business,West,Goa,Office Supplies,Stationery,Labels,9,170.42,1165.21,0.356,106.09,Express,Credit Card,4.5,2,No
ORD100473,2023-03-16,CUST01581,Small Business,West,Goa,Technology,Accessories,Wireless Mouse,4,1259.05,5113.26,0.042,1103.09,Standard,Net Banking,3.2,4,No
ORD102341,2023-10-23,CUST01459,Corporate,North,Uttar Pradesh,Furniture,Furnishings,Whiteboard,3,861.69,2827.67,0.073,716.22,Standard,Net Banking,4.4,3,No
ORD100290,2023-07-16,CUST01185,Consumer,North,Delhi,Office Supplies,Binders,Document Folder,5,200.07,900.6,0.1,173.57,Express,Net Banking,4.6,2,No
ORD100569,2024-04-09,CUST01165,Corporate,East,West Bengal,Office Supplies,Paper,Notebooks,1,156.51,137.44,0.172,22.68,Express,Net Banking,4.0,3,No
ORD100582,2024-05-01,CUST01332,Consumer,West,Gujarat,Technology,Accessories,Keyboard,1,622.72,534.67,0.19,24.35,Standard,Credit Card,3.4,5,No
ORD100015,2024-05-07,CUST01539,Corporate,South,Andhra Pradesh,Technology,Accessories,Wireless Mouse,4,397.18,1449.09,0.14,120.09,Standard,Credit Card,3.6,6,No
ORD102693,2023-12-05,CUST01555,Consumer,South,Andhra Pradesh,Technology,Accessories,Headset,3,330.06,1009.42,0.136,160.29,Standard,Credit Card,3.4,4,No
ORD100808,2024-09-23,CUST01410,Consumer,West,Gujarat,Office Supplies,Paper,A4 Paper,9,216.07,1264.01,0.35,123.97,Standard,UPI,,3,No
ORD102651,2025-11-15,CUST01054,Consumer,West,Rajasthan,Furniture,Tables,Conference Table,1,362.55,347.82,0.187,49.56,Express,UPI,4.5,1,No
ORD102248,2023-07-14,CUST01472,Consumer,West,Goa,Furniture,Tables,Work Desk,5,619.12,2501.3,,303.86,Standard,UPI,3.7,5,No
ORD100529,2024-09-18,CUST01193,Small Business,North,Delhi,Office Supplies,Storage,Filing Cabinet,6,276.33,1262.1,0.239,189.27,Express,Net Banking,4.3,2,No
ORD100458,2024-01-10,CUST01585,Small Business,North,Haryana,Technology,Accessories,Headset,3,997.71,2639.32,0.118,298.42,Standard,COD,3.4,9,No
ORD100600,2024-04-23,CUST01294,Consumer,South,Andhra Pradesh,Furniture,Tables,Conference Table,1,642.32,537.52,0.211,88.81,Standard,Credit Card,3.9,7,No
ORD100315,2025-03-30,CUST01585,Consumer,North,Uttar Pradesh,Furniture,Furnishings,Curtains,2,693.74,1162.72,0.209,165.46,Standard,Credit Card,3.4,6,No
ORD100185,2025-06-13,CUST01157,Corporate,West,Goa,Furniture,Furnishings,Desk Lamp,3,707.99,1750.08,0.176,299.28,Standard,COD,3.2,8,Yes
ORD100965,2024-09-04,CUST01430,Corporate,East,Bihar,Furniture,Bookcases,Metal Bookcase,8,674.21,4824.66,0.105,1065.82,Express,UPI,4.6,2,No
ORD100671,2025-03-10,CUST01458,Consumer,East,Bihar,Furniture,Bookcases,Metal Bookcase,4,1343.48,5353.54,0.06,1558.67,Same Day,Credit Card,4.6,1,No
ORD100052,2023-01-17,CUST01358,Consumer,North,Punjab,Technology,Phones,Smartphone C,8,508.65,3701.83,0.09,523.36,Standard,Credit Card,4.0,5,No
ORD102590,2024-08-14,CUST01505,Corporate,West,Maharashtra,Office Supplies,Storage,Organizer,4,298.95,935.52,0.218,85.21,Standard,COD,3.6,6,No
ORD101753,2023-06-23,CUST01004,Consumer,North,Haryana,Office Supplies,Paper,Premium Paper,8,94.38,542.3,0.282,106.63,Same Day,Credit Card,4.1,2,No
ORD101538,2023-04-25,CUST01359,Corporate,West,Rajasthan,Office Supplies,Paper,A4 Paper,2,125.45,224.24,0.157,32.62,Express,net banking,4.5,1,No
ORD102822,2024-05-06,CUST01510,Corporate,North,Delhi,Office Supplies,Storage,Filing Cabinet,1,252.41,247.69,,63.35,Same Day,UPI,4.5,2,No
ORD102646,2023-01-07,CUST01175,Small Business,West,Rajasthan,Furniture,Bookcases,Wooden Bookcase,1,388.98,316.1,0.187,31.61,Express,Credit Card,4.5,3,Yes
ORD100433,2023-09-07,CUST01378,Consumer,West,Gujarat,Furniture,Chairs,Office Chair,2,329.56,504.18,0.235,15.58,Standard,Credit Card,2.5,8,Yes
ORD102189,2023-09-15,CUST01581,Consumer,South,Telangana,Technology,Accessories,Headset,5,519.78,2290.41,0.119,486.67,Standard,COD,4.0,7,No
ORD101012,2025-12-06,CUST01108,Consumer,North,Uttar Pradesh,Furniture,Furnishings,Whiteboard,5,223.16,1239.16,0.059,149.45,Same Day,Net Banking,4.6,1,No
ORD101952,2025-10-12,CUST01523,Consumer,North,Haryana,Furniture,Bookcases,Metal Bookcase,3,143.96,422.85,0.17,84.94,Standard,COD,2.7,7,No
ORD100332,2025-04-12,CUST01058,Small Business,East,Odisha,Office Supplies,Stationery,Pens,5,140.59,611.06,0.18,61.34,Standard,UPI,3.7,7,Yes
ORD101602,2023-09-15,CUST01538,Consumer,South,Tamil Nadu,Technology,Printers,Laser Printer,4,360.7,1216.33,0.157,203.67,Same Day,COD,5.0,1,Yes
ORD101746,2023-07-18,CUST01309,Consumer,East,Jharkhand,Technology,Printers,Inkjet Printer,1,711.83,575.94,0.191,2.85,Express,Credit Card,4.4,3,No
ORD100773,2023-11-05,CUST01015,Consumer,West,Goa,Technology,Printers,Laser Printer,1,1210.59,1184.12,0.171,91.22,Standard,UPI,4.1,6,No
ORD102163,2023-05-28,CUST01039,Consumer,West,Rajasthan,Technology,Printers,Laser Printer,3,233.5,621.75,0.163,104.67,Standard,Credit Card,4.3,5,No
ORD102683,2025-03-07,CUST01408,Small Business,North,Delhi,Office Supplies,Paper,Notebooks,6,307.35,1621.75,0.17,376.49,Standard,Net Banking,,6,No
ORD102243,2025-10-02,CUST01496,Small Business,East,Jharkhand,Technology,Phones,Smartphone C,1,427.77,493.05,0.023,58.5,Same Day,UPI,4.3,1,No
ORD100683,2024-03-23,CUST01006,Consumer,West,Goa,Technology,Printers,Inkjet Printer,1,1407.5,1455.9,0.024,325.49,Standard,UPI,3.6,4,No
ORD102419,2025-05-31,CUST01488,Consumer,South,Andhra Pradesh,Office Supplies,Paper,A4 Paper,2,240.44,292.86,0.425,8.8,Express,Credit Card,4.3,2,No
ORD100333,2023-01-06,CUST01159,Consumer,East,Jharkhand,Technology,Printers,Laser Printer,5,591.68,2700.69,0.087,536.08,Standard,COD,4.2,8,No
ORD101254,2023-06-02,CUST01582,Corporate,West,Gujarat,Technology,Laptops,Laptop Pro,1,560.64,441.28,0.213,13.31,Standard,UPI,3.6,8,No
ORD101207,2023-12-07,CUST01506,Consumer,North,Delhi,Furniture,Chairs,Office Chair,1,684.55,631.56,0.218,76.28,Express,UPI,4.6,3,No
ORD100487,2025-02-25,CUST01466,Small Business,East,Odisha,Furniture,Chairs,Ergonomic Chair,4,547.62,1697.85,0.225,259.35,Standard,Net Banking,2.8,9,No
ORD101293,2025-09-20,CUST01413,Corporate,South,Andhra Pradesh,Furniture,Furnishings,Curtains,2,1182.18,2034.22,0.14,478.35,Standard,COD,4.7,4,No
ORD102877,2024-08-07,CUST01023,Corporate,East,Bihar,Technology,Printers,Inkjet Printer,3,524.01,1318.17,0.161,135.03,Standard,UPI,3.9,8,No
ORD102974,2024-03-05,CUST01297,Consumer,North,Uttar Pradesh,Office Supplies,Storage,Organizer,2,329.8,522.82,0.252,97.01,Same Day,UPI,5.0,1,No
ORD102860,2023-01-16,CUST01519,Small Business,West,Rajasthan,Office Supplies,Paper,A4 Paper,2,675.01,1207.13,0.106,241.81,Express,UPI,4.2,2,No
ORD100818,2025-09-14,CUST01544,Consumer,North,Delhi,Technology,Phones,Smartphone A,3,1070.07,2752.03,0.143,122.24,Standard,COD,3.6,7,No
ORD101546,2025-05-11,CUST01408,Consumer,West,Rajasthan,Office Supplies,Binders,Ring Binder,2,135.11,283.59,0.01,68.83,Standard,Credit Card,4.2,4,No
ORD100762,2024-12-08,CUST01101,Consumer,West,Rajasthan,Furniture,Furnishings,Curtains,2,503.33,1056.71,0.11,43.93,Standard,COD,3.5,3,No
ORD102674,2024-03-03,CUST01382,Small Business,East,Jharkhand,Office Supplies,Binders,Document Folder,4,172.04,686.89,0.058,162.16,Standard,COD,3.1,6,No
ORD100176,2023-12-16,CUST01001,Small Business,North,Delhi,Furniture,Chairs,Visitor Chair,9,984.24,7564.49,0.276,307.42,Standard,UPI,3.8,7,No
ORD101037,2025-11-02,CUST01502,Corporate,North,Delhi,Office Supplies,Paper,Premium Paper,1,172.75,165.79,0.187,36.35,Standard,UPI,4.6,3,No
ORD100719,2025-05-09,CUST01172,Small Business,East,Odisha,Furniture,Bookcases,Metal Bookcase,5,133.39,602.44,0.148,116.95,Standard,Credit Card,4.5,4,No
ORD101189,2023-04-26,CUST01438,Consumer,South,Andhra Pradesh,Technology,Laptops,Laptop Air,7,848.83,5098.65,0.19,25.13,Standard,UPI,3.5,8,No
ORD100145,2024-07-09,CUST01458,Consumer,South,Karnataka,Office Supplies,Binders,Ring Binder,6,359.16,2051.77,0.048,563.13,Standard,UPI,2.7,7,No
ORD102112,2023-02-24,CUST01285,Corporate,West,Goa,Technology,Laptops,Laptop Pro,1,941.53,774.83,0.177,36.74,Standard,UPI,4.1,5,No
ORD100496,2023-03-12,CUST01105,Consumer,South,Karnataka,Technology,Laptops,Laptop Pro,1,1819.45,1514.45,0.215,67.72,Express,UPI,4.7,3,No
ORD100875,2023-05-29,CUST01287,Corporate,West,Goa,Office Supplies,Storage,Organizer,1,79.12,78.12,0.069,22.89,Same Day,UPI,4.4,1,No
ORD100692,2023-07-29,CUST01170,Consumer,North,Haryana,Technology,Laptops,Business Laptop,2,962.98,1590.43,0.174,276.83,Standard,UPI,4.8,3,No
ORD101719,2023-11-27,CUST01487,Consumer,West,Rajasthan,Office Supplies,Storage,Storage Box,2,156.4,341.54,0.075,93.94,Standard,UPI,4.5,3,No
ORD102759,2023-12-02,CUST01333,Consumer,East,Jharkhand,Office Supplies,Storage,Filing Cabinet,5,252.52,1457.25,,523.09,Express,Net Banking,5.0,1,No
ORD100444,2023-01-31,CUST01023,Consumer,East,Jharkhand,Furniture,Furnishings,Curtains,1,668.58,472.36,0.293,42.77,Standard,Credit Card,3.9,4,No
ORD102168,2024-05-26,CUST01155,Consumer,North,Punjab,Technology,Phones,Smartphone C,6,1730.41,9499.05,0.137,978.5,Standard,UPI,3.9,3,No
ORD102031,2024-05-24,CUST01371,Corporate,South,Tamil Nadu,Technology,Accessories,Keyboard,5,919.82,2665.28,0.453,-212.08,Same Day,UPI,5.0,1,No
ORD100257,2025-08-17,CUST01017,Corporate,West,Goa,Office Supplies,Paper,Premium Paper,3,145.88,331.4,0.243,31.09,Express,Credit Card,4.9,2,No
ORD102464,2024-08-22,CUST01315,Small Business,North,Punjab,Office Supplies,Stationery,Stapler,5,305.81,1343.22,0.122,278.05,Standard,COD,3.4,8,Yes
ORD100782,2023-06-23,CUST01486,Small Business,West,Goa,Furniture,Furnishings,Whiteboard,3,503.4,1424.6,0.057,343.77,Standard,Credit Card,4.2,4,No
ORD100528,2024-05-15,CUST01044,Corporate,East,West Bengal,Office Supplies,Binders,File Folder,3,272.08,704.46,0.186,149.4,Standard,COD,4.4,3,No
ORD100001,2023-01-17,CUST01218,Consumer,East,Jharkhand,Office Supplies,Binders,File Folder,9,374.39,2936.82,0.128,791.3,Standard,Net Banking,3.9,4,No
ORD101609,2025-02-25,CUST01593,Corporate,West,Goa,Office Supplies,Storage,Storage Box,3,70.62,127.13,0.4,1.82,Standard,Net Banking,2.9,6,No
ORD101776,2025-09-25,CUST01080,Consumer,South,Telangana,Office Supplies,Stationery,Stapler,4,325.53,1174.25,0.098,280.65,Standard,Credit Card,4.0,3,No
ORD100046,2024-06-29,CUST01323,Small Business,North,Haryana,Technology,Accessories,Keyboard,1,749.91,673.62,0.102,140.52,Standard,COD,3.7,6,No
ORD102304,2023-08-08,CUST01538,Small Business,South,Tamil Nadu,Office Supplies,Binders,File Folder,3,66.11,186.2,0.061,40.84,Standard,Credit Card,3.4,6,No
ORD102196,2024-03-24,CUST01303,Corporate,West,Gujarat,Furniture,Tables,Work Desk,10,1073.41,10070.63,0.115,2139.17,Same Day,,4.6,1,No
ORD101322,2023-02-08,CUST01128,Corporate,South,Telangana,Technology,Accessories,USB Hub,8,559.84,3059.12,0.317,342.9,Standard,Credit Card,3.8,4,No
ORD100195,2024-07-30,CUST01420,Corporate,West,Rajasthan,Furniture,Bookcases,Metal Bookcase,4,113.9,344.2,0.245,10.9,Standard,UPI,3.9,8,Yes
ORD101552,2024-01-23,CUST01566,Corporate,West,Rajasthan,Furniture,Bookcases,Wooden Bookcase,3,335.39,889.2,0.116,113.82,Standard,Net Banking,4.0,8,No
ORD102145,2024-12-04,CUST01104,Consumer,West,Rajasthan,Office Supplies,Stationery,Pens,1,242.77,253.89,0.114,72.88,Express,UPI,3.8,3,Yes
ORD100679,2024-11-13,CUST01171,Small Business,North,Uttar Pradesh,Technology,Phones,Smartphone B,7,569.41,4017.1,,563.5,Same Day,COD,4.4,1,No
ORD101576,2023-10-15,CUST01076,Consumer,West,Goa,Technology,Printers,Laser Printer,2,574.98,979.18,0.278,91.49,Standard,UPI,4.6,5,No
ORD101136,2025-06-06,CUST01049,Consumer,South,Tamil Nadu,Technology,Printers,Laser Printer,3,939.33,2766.27,0.018,543.82,Standard,UPI,3.8,3,No
ORD102984,2023-05-05,CUST01398,Consumer,West,Goa,Office Supplies,Stationery,Markers,1,140.64,145.07,0.027,47.53,Standard,UPI,5.0,4,No
ORD100409,2023-10-21,CUST01259,Consumer,North,Haryana,Technology,Printers,Inkjet Printer,4,923.87,3647.5,,374.69,Standard,UPI,3.8,8,No
ORD101463,2025-08-16,CUST01402,Consumer,East,Odisha,Technology,Accessories,USB Hub,4,412.35,1350.23,0.181,207.3,Express,Credit Card,4.8,1,No
ORD101252,2025-10-01,CUST01140,Consumer,North,Delhi,Technology,Phones,Smartphone C,2,1350.08,2105.21,0.339,-97.86,Standard,Credit Card,3.9,3,No
ORD101663,2025-03-12,CUST01240,Consumer,West,Gujarat,Furniture,Furnishings,Desk Lamp,4,304.4,1141.74,0.115,96.13,Standard,Net Banking,4.4,5,Yes
ORD101778,2023-06-25,CUST01022,Consumer,South,Tamil Nadu,Technology,Laptops,Business Laptop,2,294.82,534.15,0.094,59.97,Standard,Credit Card,4.3,3,No
ORD100415,2025-10-29,CUST01585,Corporate,South,Karnataka,Technology,Laptops,Laptop Pro,2,1389.35,2604.28,0.206,38.2,Standard,UPI,3.3,7,No
ORD101004,2023-03-04,CUST01200,Consumer,West,Gujarat,Furniture,Tables,Conference Table,1,981.79,1026.36,0.014,240.34,Same Day,UPI,,1,No
ORD102096,2024-08-04,CUST01333,Consumer,West,Rajasthan,Furniture,Bookcases,Metal Bookcase,6,1329.6,7477.86,0.063,1155.46,Standard,Net Banking,3.5,4,No
ORD101438,2025-12-19,CUST01419,Consumer,North,Delhi,Office Supplies,Paper,A4 Paper,8,249.58,1973.93,0.162,408.34,Standard,,3.9,8,No
ORD101890,2024-10-12,CUST01132,Corporate,East,West Bengal,Office Supplies,Storage,Storage Box,8,203.85,1469.23,0.237,249.32,Standard,UPI,,8,No
ORD100860,2023-12-30,CUST01514,Consumer,North,Uttar Pradesh,Furniture,Furnishings,Desk Lamp,3,225.57,700.75,0.122,113.26,Standard,COD,4.1,6,No
ORD102813,2024-10-08,CUST01243,Consumer,North,Uttar Pradesh,Technology,Accessories,USB Hub,7,2202.67,17049.17,0.063,3480.47,Standard,UPI,3.0,9,No
ORD102988,2024-08-24,CUST01488,Small Business,West,Goa,Furniture,Tables,Study Table,1,367.16,335.99,0.085,52.44,Standard,UPI,3.0,7,Yes
ORD100175,2023-07-28,CUST01178,Small Business,South,Telangana,Office Supplies,Stationery,Labels,1,353.58,317.3,0.103,84.89,Express,UPI,4.4,1,No
ORD100882,2025-08-08,CUST01123,Consumer,South,Tamil Nadu,Technology,Printers,Inkjet Printer,4,456.35,1669.37,0.085,126.41,Standard,UPI,5.0,3,No
ORD100193,2023-11-19,CUST01487,Consumer,East,Bihar,Office Supplies,Storage,Filing Cabinet,10,96.07,1089.26,0.039,289.7,Standard,UPI,3.6,6,No
ORD101597,2024-02-01,CUST01081,Consumer,West,Goa,Furniture,Bookcases,Wooden Bookcase,6,241.57,1214.37,0.162,160.02,Express,COD,3.9,3,No
ORD102360,2023-09-14,CUST01104,Small Business,East,Odisha,Office Supplies,Storage,Storage Box,1,488.1,400.36,0.18,59.04,Standard,UPI,4.4,6,No
ORD102324,2025-06-07,CUST01090,Consumer,North,Punjab,Office Supplies,Stationery,Markers,2,260.61,478.41,0.082,82.27,Express,UPI,4.2,2,No
ORD102015,2023-07-20,CUST01242,Small Business,North,Punjab,Technology,Phones,Smartphone B,1,587.71,475.94,0.19,38.83,Standard,Net Banking,4.4,3,No
ORD102363,2025-08-12,CUST01012,Small Business,North,Haryana,Technology,Accessories,Keyboard,1,929.19,843.69,0.092,104.86,Standard,UPI,,5,No
ORD101790,2023-02-24,CUST01227,Corporate,North,Delhi,Technology,Phones,Smartphone C,6,1205.49,5760.57,0.204,714.15,Standard,COD,3.3,8,No
